keys,zh_Hans
material.terre.name,泥土
material.pierre.name,石头
material.chene.name,橡木
material.terre_fertile.name,肥沃土壤
material.sable.name,沙子
material.gres.name,砂岩
material.calcaire.name,石灰岩
material.ardoise.name,板岩
material.basalte.name,玄武岩
material.granit.name,花岗岩
material.granit_noir.name,黑花岗岩
material.fer.name,铁
material.pin.name,松木
material.cuivre.name,铜
material.feuilles_chene.name,橡树叶
biome.plaine_temperee.name,温带平原
biome.foret_temperee.name,温带森林
biome.desert_aride.name,干旱沙漠
biome.montagne.name,山地
skill.minage.name,采矿
skill.bucheronnage.name,伐木
skill.terrassement.name,挖掘
skill.herboristerie.name,草药学
skill.collecte.name,采集
functionality.recolte_minage.name,采矿工具
functionality.recolte_bucheronnage.name,伐木工具
functionality.recolte_terrassement.name,挖掘工具
item.pioche.name,镐
item.hache.name,斧头
item.pelle.name,铲子
ui.hud.fps,FPS：{fps}
ui.hud.chunks,区块：显示 {meshes} · 缓存 {cache} · 队列 {file}
ui.hud.meshing,网格化：平均 {moyen} 毫秒 · 最大 {max} 毫秒
ui.hud.pos,"坐标：{x}, {y}, {z}"
ui.hud.biome,生物群系：{biome}
ui.hud.fertilite,肥沃度：{pct}%
ui.hud.temperature,气温：{deg}°C
ui.hud.cible,目标：{materiau} — {progres} %
ui.hud.cible_rebond,目标：{materiau} — 工具被弹开了！
ui.hud.outil,工具：{outil}
ui.outil.mains_nues,徒手
ui.hud.grille,网格：{res} px
ui.toast.budget_subdivision,此区域已达到细节上限
ui.toast.niveau,{competence} 提升到 {niveau} 级！
ui.toast.etal_vendu,已售出：{item}，{prix} 金币
ui.toast.etal_stock,已上架：{item}，{prix} 金币
ui.toast.etal_collecte,已收取：{montant} 金币
ui.inv.titre,背包
ui.inv.poids,重量：{poids} / {capacite}
ui.inv.surcharge,超重 — 移动速度下降
ui.inv.competences,技能
ui.inv.competence_ligne,{nom} — {niveau} 级（{xp} / {xp_max} 经验 · 潜力 {potentiel}）
ui.inv.outil_ligne,{nom}（品质 {qualite} · 硬度 {durete}）
ui.inv.vide,（背包为空）
skill.epee.name,剑
skill.mains_nues.name,徒手
skill.meditation.name,冥想
skill.controle_mana.name,法力控制
skill.esquive.name,闪避
skill.encaissement.name,坚韧
functionality.morsure.name,撕咬
functionality.epee.name,剑
item.epee.name,剑
module.trait_de_mana.name,法力箭
module.soin_mineur.name,轻治疗
module.frappe_lourde.name,重击
module.morsure_simple.name,撕咬
creature.sanglier.name,野猪
ui.hud.sante,生命：{pv} / {pv_max}
ui.hud.mana,法力：{mana} / {mana_max}
ui.hud.or,金币：{or}
ui.toast.creature_tuee,击败了 {creature}！
functionality.mains_nues.name,徒手
ui.hud.module,模块 {slot}：{nom}（{cout} 魔力）
ui.role.base,用途：基地
ui.role.habitation,用途：居住
ui.role.champs,用途：农田
ui.role.ressources_naturelles,用途：自然资源
ui.hud.cellule,"地块 {x},{z}：{statut}"
ui.hud.cellule_revendiquee,已占领（{role}）
ui.hud.cellule_libre,未占领（按 V 占领）
ui.role_name.base,基地
ui.role_name.habitation,居住区
ui.role_name.champs,农田
ui.role_name.ressources_naturelles,自然资源
ui.map.titre,世界地图
ui.map.danger.0,平静
ui.map.danger.1,危险
ui.map.danger.2,致命
ui.map.aide,WASD：移动视图 · 滚轮：缩放（无限） · L：切换图层 · 点击：快速旅行 · Esc：关闭
stat.force.name,力量
stat.dexterite.name,敏捷
stat.endurance.name,耐力
stat.volonte.name,意志
stat.perception.name,感知
stat.charisme.name,魅力
material.sapin.name,冷杉木
material.aiguilles_sapin.name,冷杉针叶
material.bois_palmier.name,棕榈木
material.feuilles_palmier.name,棕榈叶
material.bois_baobab.name,猴面包树木
material.feuilles_baobab.name,猴面包树叶
tree.chene.name,橡树
tree.sapin.name,冷杉
tree.palmier.name,棕榈树
tree.baobab.name,猴面包树
material.eau.name,水
material.epicea.name,云杉木
material.meleze.name,落叶松木
material.cedre.name,雪松木
material.hetre.name,山毛榉木
material.bouleau.name,桦木
material.erable.name,枫木
material.frene.name,白蜡木
material.orme.name,榆木
material.if.name,紫杉木
material.noyer.name,胡桃木
material.cerisier.name,樱桃木
material.olivier.name,橄榄木
material.ebene.name,乌木
material.gaiac.name,愈疮木
material.acajou.name,桃花心木
material.teck.name,柚木
material.balsa.name,轻木
material.bambou.name,竹子
material.saule.name,柳木
material.liege.name,软木
material.peuplier.name,杨木
material.tilleul.name,椴木
material.charme.name,鹅耳枥木
material.robinier.name,刺槐木
material.chataignier.name,栗木
material.platane.name,悬铃木
material.aulne.name,赤杨木
material.buis.name,黄杨木
material.cypres.name,柏木
material.sequoia.name,红杉木
material.acacia.name,金合欢木
material.eucalyptus.name,桉木
material.pommier.name,苹果木
material.noisetier.name,榛木
material.bois_flotte.name,浮木
material.bois_calcine.name,焦木
material.etain.name,锡
material.zinc.name,锌
material.bronze.name,青铜
material.laiton.name,黄铜
material.acier.name,钢
material.acier_trempe.name,淬火钢
material.argent.name,银
material.or.name,黄金
material.platine.name,铂
material.plomb.name,铅
material.nickel.name,镍
material.cobalt.name,钴
material.titane.name,钛
material.tungstene.name,钨
material.aluminium.name,铝
material.chrome.name,铬
material.manganese.name,锰
material.bismuth.name,铋
material.antimoine.name,锑
material.diorite.name,闪长岩
material.andesite.name,安山岩
material.dolomie.name,白云岩
material.craie.name,白垩
material.marbre.name,大理石
material.quartzite.name,石英岩
material.schiste.name,页岩
material.gneiss.name,片麻岩
material.tuf_volcanique.name,凝灰岩
material.pierre_ponce.name,浮石
material.obsidienne.name,黑曜石
material.silex.name,燧石
material.gypse.name,石膏
material.rhyolite.name,流纹岩
material.peridotite.name,橄榄岩
material.serpentinite.name,蛇纹岩
material.travertin.name,石灰华
material.conglomerat.name,砾岩
material.breche_volcanique.name,火山角砾岩
material.kimberlite.name,金伯利岩
material.calcite.name,方解石
material.tourbe.name,泥炭
material.argile.name,黏土
material.gravier.name,砾石
material.lin.name,亚麻
material.coton.name,棉花
material.paille.name,稻草
material.chanvre.name,大麻
material.laine.name,羊毛
material.soie.name,丝绸
material.cuir.name,皮革
material.fourrure.name,毛皮
material.eau_salee.name,海水
material.lave.name,熔岩
material.huile.name,油
material.goudron.name,焦油
material.boue.name,泥浆
material.seve.name,树液
material.houille.name,烟煤
material.lignite.name,褐煤
material.anthracite.name,无烟煤
material.soufre.name,硫磺
material.salpetre.name,硝石
material.sel_gemme.name,岩盐
material.graphite.name,石墨
material.mica.name,云母
material.pyrite.name,黄铁矿
material.malachite.name,孔雀石
material.argile_refractaire.name,耐火黏土
material.guano.name,鸟粪石
material.tourbe_compactee.name,压实泥炭
material.bitume.name,沥青
material.cinabre.name,朱砂
material.ocre.name,赭石
material.lapis_lazuli.name,青金石
material.turquoise.name,绿松石
material.ambre.name,琥珀
material.fluorine.name,萤石
material.amiante.name,石棉
material.phosphorite.name,磷块岩
material.os_fossile.name,骨化石
material.ammonite.name,菊石
material.bois_petrifie.name,硅化木
material.coquillage_fossile.name,贝壳化石
material.geode.name,晶洞
material.meteorite_ferreuse.name,铁陨石
material.glace.name,冰
material.neige.name,雪
material.quartz.name,石英
material.amethyste.name,紫水晶
material.topaze.name,黄玉
material.grenat.name,石榴石
material.opale.name,蛋白石
material.jade.name,玉
material.rubis.name,红宝石
material.saphir.name,蓝宝石
material.emeraude.name,祖母绿
material.diamant.name,钻石
material.verre.name,玻璃
material.brique.name,砖块
material.etal_de_vente.name,售货摊
material.chaume_tresse.name,编织茅草
material.papier.name,纸
material.feuilles_bouleau.name,桦树叶
material.feuilles_sequoia.name,红杉叶
material.feuilles_saule.name,柳叶
tree.bouleau.name,桦树
tree.sequoia.name,红杉
tree.saule.name,垂柳
material.feuilles_acacia.name,金合欢叶
tree.acacia.name,金合欢
material.feuilles_acajou.name,桃花心木叶
tree.acajou.name,桃花心木
material.feuilles_aulne.name,赤杨叶
tree.aulne.name,赤杨
material.feuilles_balsa.name,轻木叶
tree.balsa.name,轻木
material.feuilles_bambou.name,竹叶
tree.bambou.name,竹
material.feuilles_buis.name,黄杨叶
tree.buis.name,黄杨
material.feuilles_cedre.name,雪松叶
tree.cedre.name,雪松
material.feuilles_cerisier.name,樱树叶
tree.cerisier.name,樱树
material.feuilles_charme.name,鹅耳枥叶
tree.charme.name,鹅耳枥
material.feuilles_chataignier.name,栗树叶
tree.chataignier.name,栗树
material.feuilles_cypres.name,柏树叶
tree.cypres.name,柏树
material.feuilles_ebene.name,乌木叶
tree.ebene.name,乌木树
material.feuilles_epicea.name,云杉叶
tree.epicea.name,云杉
material.feuilles_erable.name,枫叶
tree.erable.name,枫树
material.feuilles_eucalyptus.name,桉树叶
tree.eucalyptus.name,桉树
material.feuilles_frene.name,白蜡树叶
tree.frene.name,白蜡树
material.feuilles_gaiac.name,愈疮木叶
tree.gaiac.name,愈疮木
material.feuilles_hetre.name,山毛榉叶
tree.hetre.name,山毛榉
material.feuilles_if.name,紫杉叶
tree.if.name,紫杉
material.feuilles_liege.name,栓皮栎叶
tree.liege.name,栓皮栎
material.feuilles_meleze.name,落叶松叶
tree.meleze.name,落叶松
material.feuilles_noisetier.name,榛树叶
tree.noisetier.name,榛树
material.feuilles_noyer.name,胡桃叶
tree.noyer.name,胡桃树
material.feuilles_olivier.name,橄榄叶
tree.olivier.name,橄榄树
material.feuilles_orme.name,榆树叶
tree.orme.name,榆树
material.feuilles_peuplier.name,杨树叶
tree.peuplier.name,杨树
material.feuilles_platane.name,悬铃木叶
tree.platane.name,悬铃木
material.feuilles_pommier.name,苹果树叶
tree.pommier.name,苹果树
material.feuilles_robinier.name,刺槐叶
tree.robinier.name,刺槐
material.feuilles_teck.name,柚树叶
tree.teck.name,柚树
material.feuilles_tilleul.name,椴树叶
tree.tilleul.name,椴树
biome.taiga.name,针叶林
biome.toundra.name,苔原
biome.marecage.name,沼泽
biome.cote.name,海岸
biome.mediterraneen.name,地中海气候
biome.jungle_tropicale.name,热带丛林
biome.savane.name,热带草原
biome.prairie.name,草原
biome.foret_tropicale_seche.name,热带干燥林
biome.mangrove.name,红树林
biome.marais_froid.name,寒冷湿地
biome.foret_de_mana.name,法力森林
biome.montagne_cristalline.name,水晶山脉
material.herbe.name,草
ui.map.zoom_info,网格：{grille} 地块（128 方块） — 图层：{calque}
ui.map.layer.biome,生物群系/地形
ui.map.layer.danger,危险度
ui.map.layer.revendications,占领
ui.map.layer.exploration,探索
material.fleurs.name,花
material.buisson.name,灌木
material.fougere.name,蕨类
material.herbe_seche.name,干草
biome.calotte_glaciaire.name,冰盖
biome.steppe.name,干草原
biome.foret_mixte.name,混交林
biome.desert_rocheux.name,岩石沙漠
material.tige_verte.name,绿茎
material.epi_ble.name,麦穗
material.tubercule.name,块茎
material.fruit_calebasse.name,葫芦
material.petale_safran.name,藏红花瓣
material.pistil_safran.name,藏红花蕊
material.epine.name,荆棘
material.algue.name,海藻
plant.ble.name,小麦
plant.pomme_de_terre.name,土豆
plant.calebasse.name,葫芦
plant.safran.name,藏红花
plant.ronces.name,荆棘
plant.algue.name,海藻
ui.toast.cellule_donjon,此地块有地下城 — 无法占领
ui.toast.partie_sauvegardee,游戏已保存
ui.donjon.titre,⚔ 地下城
ui.donjon.infos,危险度：{danger} · 房间：{salles} · 1 层
ui.donjon.compte,{secondes} 秒后进入 — 后退可取消
ui.donjon.chargement,正在生成地下城...
ui.donjon.danger.0,平静
ui.donjon.danger.1,危险
ui.donjon.danger.2,致命
ui.menu.titre,VOXEN
ui.menu.solo,单人游戏
ui.menu.multi,多人游戏
ui.menu.parametres,设置
ui.menu.quitter,退出
ui.menu.continuer,继续游戏
ui.menu.nouvelle,新游戏
ui.menu.retour,返回
ui.menu.distance_affichage,渲染距离
ui.menu.aucun_monde,没有已保存的世界
ui.menu.nom_monde,世界名称
ui.menu.nom_defaut,新世界
ui.menu.graine,种子
ui.menu.monde_info,种子 {graine} · 第 {jour} 天
ui.menu.relief,地形起伏
ui.menu.niveau_mer,海平面
ui.menu.temperature,气温
ui.menu.humidite,湿度
ui.menu.arbres,树木密度
ui.menu.rivieres,河流
ui.menu.cavernes,洞穴
ui.menu.biome_force,单一生物群系
ui.menu.biome_aucun,— 全部生物群系 —
ui.menu.creer,创建并游玩
ui.menu.apercu,世界预览
ui.menu.spawn_hint,点击地图选择出生点
ui.menu.regions,大陆：{continents} · 海洋：{oceans}
ui.menu.host,创建主机（默认世界）
ui.menu.rejoindre,加入
ui.menu.ip,IP 地址
ui.menu.langue,语言
category.bois.name,木材
category.cristal.name,水晶
category.fossile.name,化石
category.liquide.name,液体
category.meteorologique.name,气象
category.minerai.name,矿石
category.mineral.name,矿物
category.roche.name,岩石
category.synthetique.name,合成材料
category.terre.name,泥土
category.vegetal.name,植物纤维
category.gaz.name,气体
ui.type.arme,武器
ui.type.outil,工具
ui.type.objet,物品
ui.menu.onglet.personnage,角色
ui.menu.onglet.inventaire,物品栏
ui.menu.onglet.carte,地图
ui.menu.onglet.royaume,王国
ui.menu.onglet.monde,世界
ui.menu.tri.nom,名称
ui.menu.tri.categorie,类别
ui.menu.tri.quantite,数量
ui.menu.tri.durete,硬度
ui.menu.tri.densite,密度
ui.menu.tri.valeur,价值
ui.menu.tri.poids,重量
ui.menu.trier_par,排序方式：
ui.menu.ordre_desc,降序
ui.menu.carte_aide,WASD：逐格移动（时间流逝）· L：图层 · Esc：关闭
ui.menu.ouvrir_carte,打开世界地图
ui.menu.encyclopedie,百科
ui.menu.enc.biomes,生物群系
ui.menu.enc.creatures,生物
ui.menu.enc.arbres,树木
ui.menu.enc.compte,已收录 {materiaux} 种材料 · {plantes} 种植物
ui.menu.enc.factions,派系与其他王国：敬请期待
ui.menu.niveau_combat,战斗等级：{niveau}
ui.menu.niveau_general,综合等级：{niveau}
ui.menu.aucune_competence,尚未提升任何技能。
ui.menu.royaume_total,已占领地块：{total}
ui.menu.royaume_vide,没有已占领的地块（游戏中按 V）。
ui.menu.royaume_cases,地块：
ui.menu.inv_objet_info,{categorie} · 品质 {qualite} · 硬度 {durete} · 重量 {poids}
ui.menu.inv_mat_info,{categorie} · 硬度 {durete} · 密度 {densite} · 价值 {valeur}
skill.forge.name,锻造
skill.menuiserie.name,木工
ui.menu.onglet.craft,制作
